0.00000000000000e+00 1.000e+00
6.77336387672395e+07   inf
6.93110736742268e+07 2.329e-02
7.01011465829140e+07 1.140e-02
7.04766905298003e+07 5.357e-03
7.08034552297116e+07 4.636e-03
7.10964685482965e+07 4.138e-03
7.13592166916572e+07 3.696e-03
7.15924258768878e+07 3.268e-03
7.17958396946189e+07 2.841e-03
7.19693305133843e+07 2.416e-03
7.21182001283666e+07 2.069e-03
7.22462889496951e+07 1.776e-03
7.23602370733861e+07 1.577e-03
7.24578423588413e+07 1.349e-03
7.25422176088941e+07 1.164e-03
7.26155515021679e+07 1.011e-03
7.26800872501103e+07 8.887e-04
7.27378284720920e+07 7.945e-04
7.27882570420282e+07 6.933e-04
7.28329810542358e+07 6.144e-04
